id,created_at,lang,retweet_count,referenced_tweets_id,referenced_tweets_type,text,sent_label,sent_score,sadness,joy,fear,disgust,anger
1.31543E+18,,,,1.32E+18,retweeted,,negative,-0.851628,0.112707,0.375185,0.279921,0.10906,0.014933
1.31543E+18,,,,1.32E+18,retweeted,,negative,-0.645246,0.352141,0.568074,0.09974,0.062264,0.021668
1.31543E+18,,,,1.32E+18,retweeted,,positive,0.448416,0.185399,0.475138,0.04008,0.130306,0.064649
1.31543E+18,,,,1.31E+18,retweeted,,neutral,0,0.089958,0.709673,0.032406,0.173689,0.035052
1.31543E+18,,,,1.32E+18,retweeted,,negative,-0.372427,0.354374,0.515492,0.111114,0.067053,0.021185
1.31543E+18,,,,1.32E+18,retweeted,,negative,-0.693828,0.350573,0.564519,0.104718,0.074853,0.022783
1.31543E+18,,,,1.32E+18,retweeted,,positive,0.375273,0.30449,0.349092,0.08403,0.079807,0.054161
1.31543E+18,,,,1.31E+18,retweeted,,positive,0.89394,0.327394,0.369265,0.083473,0.099376,0.033042
1.31543E+18,,,,1.32E+18,retweeted,,positive,0.268644,0.379609,0.284638,0.081279,0.096105,0.033803
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.645246,0.35376,0.560132,0.100619,0.063101,0.024747
1.31544E+18,,,,1.32E+18,retweeted,,neutral,0,0.143324,0.539468,0.061482,0.07437,0.06674
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.320534,0.193181,0.475254,0.087952,0.093953,0.034746
1.31544E+18,,,,1.31E+18,retweeted,,positive,0.645373,0.325774,0.127063,0.107711,0.245834,0.054559
1.31544E+18,,,,1.31E+18,retweeted,,positive,0.312481,0.143809,0.505174,0.043928,0.108232,0.032619
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.642374,0.352806,0.496025,0.11243,0.072561,0.02324
1.31544E+18,,,,1.32E+18,retweeted,,neutral,0,0.124878,0.701346,0.042571,0.181998,0.020388
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.625467,0.342269,0.53373,0.104676,0.069762,0.019458
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.451362,0.405885,0.298766,0.073263,0.137387,0.034922
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.540119,0.245329,0.295815,0.059203,0.122281,0.040549
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.310049,0.048052,0.272239,0.446997,0.052313,0.012628
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.839973,0.516919,0.352932,0.028227,0.086979,0.015331
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.861682,0.118581,0.486593,0.069721,0.11179,0.046172
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.693828,0.348278,0.581395,0.101186,0.074515,0.023192
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.644209,0.382411,0.436903,0.070525,0.068302,0.039223
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.805984,0.163684,0.410463,0.069136,0.080671,0.055504
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.736396,0.142247,0.510313,0.069657,0.100846,0.040444
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.483388,0.352116,0.544378,0.101213,0.061494,0.020741
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.428286,0.231491,0.400598,0.088164,0.053859,0.048039
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.340919,0.312403,0.36741,0.010166,0.090564,0.051317
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.805434,0.573088,0.211254,0.059652,0.114736,0.015047
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.563169,0.400419,0.163586,0.151768,0.065911,0.053924
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.372427,0.351254,0.503564,0.111759,0.072662,0.023133
1.31544E+18,,,,1.32E+18,retweeted,,neutral,0,0.144139,0.506689,0.079386,0.075789,0.05037
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.693828,0.352537,0.575547,0.102346,0.073747,0.022146
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.645861,0.258179,0.289636,0.132261,0.045521,0.066672
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.570018,0.253536,0.572963,0.081711,0.093809,0.022372
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.645246,0.337491,0.582282,0.099577,0.061985,0.020238
1.31544E+18,,,,1.32E+18,retweeted,,neutral,0,0.646946,0.218816,0.061589,0.06362,0.018048
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.345511,0.126147,0.451542,0.031315,0.068722,0.028975
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.575252,0.175147,0.348997,0.050229,0.079487,0.088428
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.657998,0.119717,0.610956,0.036974,0.064919,0.104957
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.961949,0.416074,0.026659,0.039894,0.05492,0.081441
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.385577,0.13636,0.498934,0.103503,0.098282,0.040838
1.31544E+18,,,,1.32E+18,retweeted,,neutral,0,0.274094,0.54078,0.063568,0.078998,0.031747
1.31544E+18,,,,1.32E+18,retweeted,,neutral,0,0.293434,0.358523,0.134101,0.132115,0.050556
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.7417,0.132542,0.402044,0.113254,0.056223,0.049117
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.693828,0.345707,0.593973,0.102027,0.07149,0.020958
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.872969,0.148137,0.645333,0.055563,0.04915,0.083066
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.445208,0.165771,0.473977,0.071779,0.116637,0.050918
1.31544E+18,,,,1.32E+18,retweeted,,neutral,0,0.349171,0.339856,0.152711,0.160567,0.02626
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.87939,0.316867,0.346527,0.071807,0.059904,0.086004
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.785636,0.114899,0.644235,0.060126,0.067224,0.040817
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.877286,0.2371,0.286875,0.143556,0.05443,0.146013
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.574605,0.201545,0.26265,0.032876,0.593002,0.032507
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.372427,0.348559,0.516348,0.110353,0.071144,0.023558
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.919518,0.334686,0.006455,0.167079,0.076149,0.093953
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.642374,0.344153,0.512737,0.111426,0.072378,0.023041
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.763137,0.155648,0.660614,0.046126,0.066647,0.040874
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.300627,0.256522,0.240369,0.117879,0.064295,0.060037
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.836999,0.168807,0.536818,0.042349,0.110739,0.102389
1.31544E+18,,,,1.32E+18,retweeted,,negative,-0.625467,0.358565,0.527987,0.103645,0.069007,0.019194
1.31544E+18,,,,1.32E+18,retweeted,,neutral,0,0.11179,0.572043,0.045044,0.166972,0.08418
1.31544E+18,,,,1.32E+18,retweeted,,positive,0.670034,0.256986,0.429344,0.094689,0.054518,0.094228
