id,created_at,lang,retweet_count,referenced_tweets_id,referenced_tweets_type,text,sent_label,sent_score,sadness,joy,fear,disgust,anger,qt_id,qt_text,sent_score_qt,sent_label_qt,sent_language_qt,sadness_qt,joy_qt,fear_qt,disgust_qt,anger_qt
1.50628E+18,,,,1.50626E+18,quoted,,negative,-0.34375,0.123627,0.296521,0.071647,0.173503,0.108788,1.50626E+18,,0,neutral,,0.192451,0.41812,0.049969,0.218245,0.049404
1.50628E+18,,,,1.50627E+18,quoted,,neutral,0,0.075347,0.265056,0.036245,0.27348,0.358236,1.50627E+18,,0,neutral,,0.113064,0.044482,0.022467,0.394204,0.07723
1.50628E+18,,,,1.50598E+18,quoted,,negative,-0.654182,0.18758,0.283649,0.076059,0.195514,0.149261,1.50598E+18,,-0.826973,negative,,0.22529,0.005902,0.145091,0.069142,0.180004
1.50628E+18,,,,1.50627E+18,quoted,,neutral,0,0.123821,0.238223,0.077747,0.164188,0.044336,1.50627E+18,,-0.714896,negative,,0.160378,0.120987,0.041789,0.193169,0.067434
1.50628E+18,,,,1.50625E+18,quoted,,negative,-0.954808,0.3831,0.072512,0.08833,0.168842,0.064539,1.50625E+18,,-0.916156,negative,,0.2145,0.280224,0.08167,0.09674,0.097436
1.50628E+18,,,,1.506E+18,quoted,,negative,-0.847982,0.390355,0.156395,0.179072,0.070448,0.113445,1.506E+18,,0,neutral,,0.119164,0.037885,0.016516,0.405676,0.074397
1.50628E+18,,,,1.50628E+18,quoted,,negative,-0.6979,0.208286,0.120026,0.07364,0.334523,0.12234,1.50628E+18,,-0.806136,negative,,0.270801,0.16483,0.031319,0.182809,0.142579
1.50628E+18,,,,1.50628E+18,quoted,,negative,-0.820502,0.189539,0.215665,0.051021,0.192965,0.060338,1.50628E+18,,0,neutral,,0.178663,0.331518,0.105542,0.043119,0.057846
1.50628E+18,,,,1.50626E+18,quoted,,neutral,0,0.099195,0.261542,0.039943,0.22652,0.083402,1.50626E+18,,-0.654168,negative,,0.395813,0.080114,0.0482,0.189255,0.038799
1.50629E+18,,,,1.50626E+18,quoted,,negative,-0.976277,0.199838,0.245743,0.045089,0.351309,0.089085,1.50626E+18,,0.963697,positive,,0.06265,0.912799,0.0236,0.089841,0.015067
