id,created_at,lang,retweet_count,referenced_tweets_id,referenced_tweets_type,text,sent_label,sent_score,sadness,joy,fear,disgust,anger
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.940868,0.572935,0.174097,0.040486,0.074306,0.112903
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.485109,0.286452,0.286334,0.042056,0.040142,0.135039
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.855992,0.285639,0.300033,0.227114,0.039121,0.114227
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.160635,0.66609,0.06209,0.106257,0.121427
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.767123,0.144635,0.594717,0.040935,0.168196,0.051664
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.87078,0.419238,0.098474,0.046782,0.100812,0.042178
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.452083,0.133934,0.37199,0.02856,0.254721,0.152722
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.441598,0.199727,0.730758,0.032903,0.112664,0.023257
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.825464,0.118258,0.580059,0.046495,0.105379,0.034052
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.8185,0.158644,0.375008,0.049232,0.345073,0.027521
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.75001,0.093042,0.532069,0.029819,0.255221,0.048284
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.391003,0.352371,0.106214,0.09099,0.053198
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.597538,0.230958,0.38837,0.156031,0.028987,0.101604
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.203828,0.422462,0.067656,0.12103,0.046147
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.433181,0.20988,0.415909,0.16149,0.027137,0.191774
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.065607,0.339325,0.341891,0.031897,0.026756
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.88823,0.275184,0.520449,0.068074,0.081225,0.062349
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.939562,0.194494,0.928851,0.026107,0.011805,0.002578
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.614154,0.157232,0.567442,0.112907,0.126929,0.031598
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.487294,0.204392,0.317966,0.040417,0.073156,0.0594
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.498093,0.134769,0.547466,0.068722,0.074663,0.051945
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.126109,0.258906,0.323312,0.106131,0.044911
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.143854,0.406414,0.081083,0.127408,0.076892
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.626374,0.174211,0.46715,0.068195,0.069572,0.082946
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.145173,0.622348,0.050718,0.062624,0.077842
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.480879,0.128212,0.536335,0.051183,0.169106,0.032462
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.695481,0.143994,0.569784,0.048093,0.136547,0.016476
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.655679,0.216091,0.51933,0.064126,0.072426,0.055972
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.714128,0.091895,0.839632,0.023339,0.03839,0.024386
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.494503,0.143649,0.289776,0.047923,0.101786,0.145185
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.920662,0.060774,0.743165,0.27202,0.04061,0.013852
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.169518,0.395193,0.073127,0.128263,0.057457
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.504086,0.166148,0.240507,0.096783,0.111549,0.038318
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.410475,0.199878,0.54193,0.050285,0.141807,0.039972
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.433899,0.346604,0.582285,0.043301,0.086011,0.078884
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.902321,0.12935,0.311496,0.081258,0.089121,0.255681
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.426493,0.110028,0.619194,0.054376,0.157746,0.022719
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.243844,0.358041,0.060621,0.195602,0.042698
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.766566,0.429879,0.317054,0.058329,0.089643,0.033355
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.784815,0.224264,0.115135,0.065801,0.27486,0.010295
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.867468,0.055036,0.282569,0.011936,0.222424,0.032525
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.154816,0.257723,0.300546,0.101483,0.039071
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.758887,0.233885,0.5342,0.248876,0.058265,0.018493
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.737313,0.213717,0.267133,0.184253,0.091514,0.022797
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.308279,0.501398,0.067256,0.099174,0.031914
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.739324,0.131106,0.552213,0.08324,0.15532,0.031776
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.484977,0.256629,0.194658,0.300315,0.084897,0.027739
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.516997,0.22696,0.755256,0.016969,0.083154,0.026234
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.13791,0.530915,0.091084,0.079499,0.051067
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.485845,0.183347,0.807569,0.027729,0.165466,0.016122
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.623843,0.277615,0.445876,0.049957,0.044383,0.080199
1.41765E+18,,,,1.41E+18,retweeted,,positive,0.491886,0.24396,0.314019,0.054949,0.088382,0.039833
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.508681,0.284069,0.192957,0.222818,0.09406,0.088552
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.245534,0.352816,0.099931,0.085176,0.032681
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.4499,0.265428,0.295432,0.04748,0.25092,0.067134
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.47429,0.233746,0.476732,0.049162,0.260576,0.036741
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.675823,0.145545,0.313889,0.09936,0.080568,0.105265
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.345798,0.31455,0.275606,0.062483,0.144242,0.028473
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.193961,0.34217,0.041596,0.039515,0.072474
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.336153,0.146473,0.370025,0.07624,0.104852,0.151756
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.838793,0.283429,0.152076,0.06824,0.23146,0.0789
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.105523,0.60869,0.055275,0.126872,0.050317
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.854971,0.11523,0.786976,0.016325,0.063393,0.027006
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.510985,0.160385,0.48768,0.06848,0.118399,0.049066
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.319415,0.139294,0.783035,0.032693,0.022332,0.015736
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.353799,0.168323,0.475659,0.012211,0.430954,0.013025
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.85015,0.118283,0.504144,0.023402,0.226551,0.150407
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.346893,0.312213,0.389643,0.090947,0.13087,0.01786
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.794639,0.070599,0.335009,0.143434,0.109582,0.02779
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.265895,0.12952,0.776811,0.045312,0.109753,0.05333
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.597729,0.264791,0.372007,0.230753,0.072882,0.089014
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.574727,0.220544,0.015492,0.078897,0.102535
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.786321,0.17849,0.515888,0.106827,0.141807,0.035785
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.423365,0.352826,0.351199,0.055525,0.113644,0.029894
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.307873,0.133618,0.401564,0.107924,0.131741,0.041186
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.738264,0.39159,0.248951,0.107854,0.1375,0.142373
1.41765E+18,,,,1.42E+18,retweeted,,positive,0.698689,0.099439,0.657962,0.079891,0.059477,0.071996
1.41765E+18,,,,1.42E+18,retweeted,,neutral,0,0.113288,0.352193,0.304136,0.083041,0.061499
1.41765E+18,,,,1.42E+18,retweeted,,negative,-0.353265,0.07963,0.060479,0.027043,0.527703,0.07985
1.41766E+18,,,,1.42E+18,retweeted,,neutral,0,0.048657,0.76659,0.041693,0.170902,0.015317
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.803391,0.220422,0.484802,0.128817,0.100423,0.036057
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.465811,0.233997,0.233561,0.201512,0.073155,0.057593
1.41766E+18,,,,1.42E+18,retweeted,,neutral,0,0.089721,0.629874,0.055934,0.099528,0.047191
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.395231,0.202998,0.474299,0.06007,0.105259,0.044179
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.803333,0.228494,0.008718,0.061063,0.585839,0.330169
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.74273,0.104645,0.415032,0.293163,0.105075,0.043486
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.577682,0.164558,0.535928,0.070899,0.100304,0.055971
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.730997,0.58094,0.423094,0.0109,0.113965,0.009901
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.873406,0.273008,0.233946,0.113664,0.111153,0.218797
1.41766E+18,,,,1.42E+18,retweeted,,neutral,0,0.132417,0.519925,0.069567,0.106771,0.049492
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.416005,0.20554,0.309695,0.074997,0.092626,0.05817
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.417518,0.244405,0.508801,0.479302,0.039858,0.027513
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.822042,0.180612,0.336407,0.09673,0.098221,0.041492
1.41766E+18,,,,1.42E+18,retweeted,,neutral,0,0.141483,0.178415,0.27228,0.15746,0.370403
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.766915,0.350821,0.39988,0.091908,0.109874,0.024896
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.329448,0.34264,0.45317,0.042506,0.142629,0.052188
1.41766E+18,,,,1.42E+18,retweeted,,neutral,0,0.107115,0.408024,0.052061,0.435434,0.037191
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.565628,0.092671,0.604557,0.055979,0.068324,0.171235
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.565336,0.186948,0.228129,0.023138,0.147886,0.041939
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.545213,0.232921,0.356366,0.03653,0.075377,0.089035
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.605083,0.291601,0.416409,0.172463,0.06352,0.031717
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.488901,0.119337,0.665512,0.049983,0.088129,0.030844
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.911724,0.144406,0.371233,0.233254,0.234503,0.07663
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.773285,0.707512,0.060789,0.034158,0.152517,0.031233
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.635182,0.524341,0.791985,0.011213,0.085175,0.021664
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.511802,0.33664,0.226061,0.014139,0.211081,0.030111
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.816571,0.151832,0.451175,0.059469,0.087745,0.062138
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.771169,0.274248,0.12803,0.107818,0.12836,0.037569
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.956034,0.188951,0.389861,0.0827,0.168468,0.043732
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.901631,0.222826,0.13434,0.017102,0.097206,0.050475
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.893788,0.105166,0.579476,0.047038,0.078377,0.132924
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.619024,0.27262,0.305284,0.047625,0.228362,0.044585
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.871195,0.177605,0.035222,0.012839,0.480582,0.173242
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.902559,0.142409,0.312203,0.042381,0.165576,0.061292
1.41766E+18,,,,1.42E+18,retweeted,,neutral,0,0.255987,0.391403,0.063674,0.100443,0.033272
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.93385,0.090931,0.296917,0.30591,0.127579,0.062982
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.838342,0.090321,0.30298,0.198088,0.241362,0.011872
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.829012,0.331308,0.318073,0.058887,0.363283,0.015913
1.41766E+18,,,,1.42E+18,retweeted,,neutral,0,0.481685,0.642074,0.037326,0.045827,0.023869
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.34328,0.175044,0.537567,0.071256,0.089964,0.047307
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.676145,0.428923,0.475148,0.005865,0.063649,0.016442
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.872313,0.118977,0.942756,0.003994,0.04763,0.01023
1.41766E+18,,,,1.42E+18,retweeted,,neutral,0,0.220971,0.363685,0.060104,0.102477,0.047764
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.627818,0.280495,0.249096,0.064677,0.048792,0.040672
1.41766E+18,,,,1.42E+18,retweeted,,neutral,0,0.138716,0.639372,0.021038,0.265043,0.013417
1.41766E+18,,,,1.41E+18,retweeted,,neutral,0,0.461061,0.488087,0.047055,0.034522,0.01615
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.523663,0.163023,0.429868,0.113296,0.08732,0.138976
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.480558,0.453248,0.325171,0.012407,0.278765,0.045611
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.853093,0.316464,0.262657,0.158963,0.188585,0.125231
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.329633,0.180707,0.402412,0.071838,0.089392,0.046582
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.849483,0.517198,0.054566,0.072387,0.243861,0.017682
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.230051,0.069822,0.257845,0.091187,0.189401,0.207083
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.267161,0.235105,0.313266,0.031987,0.10166,0.029719
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.981555,0.168131,0.036921,0.095608,0.355466,0.096598
1.41766E+18,,,,1.42E+18,retweeted,,negative,-0.574687,0.265232,0.552854,0.018595,0.093453,0.010056
1.41766E+18,,,,1.42E+18,retweeted,,positive,0.656771,0.30069,0.408888,0.076745,0.103541,0.050973
